#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP,Temperature (°C)
Spizellomyces punctatus DAOM BR117,Eukaryota;Fungi;Other Fungi,DAOM BR117,SAMN00716787,PRJNA37881,GCA_000182565.2,Scaffold,24.1311,47.6,,ACOE01,38,9422,2009-09-03T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/182/565/GCA_000182565.2_S_punctatus_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/182/565/GCF_000182565.1_S_punctatus_V1,
Sterkiella histriomuscorum,Eukaryota;Protists;Other Protists,BA,SAMN03325312,PRJNA274292,GCA_001273305.2,Contig,66.3686,28.4,,LAST02,32996,0,2015-08-21T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/273/305/GCA_001273305.2_ASM127330v2,,
Ancylostoma duodenale,Eukaryota;Animals;Roundworms,Zhejiang,SAMN03277212,PRJNA72581,GCA_000816745.1,Scaffold,332.876,42.7,,JHON01,69981,27483,2015-01-08T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/816/745/GCA_000816745.1_A_duodenale_2.2.ec.cg.pg,,
Schizophyllum commune H4-8,Eukaryota;Fungi;Basidiomycetes,H4-8,SAMN02194201,PRJNA32757,GCA_000143185.1,Scaffold,38.482,57.4,,ADMJ01,36,13193,2010-07-01T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/143/185/GCA_000143185.1_v1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/143/185/GCF_000143185.1_v1.0,30
Ascaris suum,Eukaryota;Animals;Roundworms,RED_2019,SAMN15096679,PRJNA62057,GCA_013433145.1, Chromosome,278.642,37.6962,chromosome 1:CM024168.1; chromosome 2:CM024169.1; chromosome 3:CM024170.1; chromosome 4:CM024171.1; chromosome 5:CM024172.1; chromosome 6:CM024173.1; chromosome 7:CM024174.1; chromosome 8:CM024175.1; chromosome 9:CM024176.1; chromosome 10:CM024177.1; chromosome 11:CM024178.1; chromosome 12:CM024179.1; chromosome 13:CM024180.1; chromosome 14:CM024181.1; chromosome 15:CM024182.1; chromosome 16:CM024183.1; chromosome 17:CM024184.1; chromosome 18:CM024185.1; chromosome 19:CM024186.1; chromosome X1:CM024187.1; chromosome X2:CM024188.1; chromosome X3:CM024189.1; chromosome X4:CM024190.1; chromosome X5:CM024191.1; mitochondrion MT:CM024213.1,JACCHR01,109,0,2020-07-21T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/433/145/GCA_013433145.1_ASM1343314v1,,
Helianthus annuus,Eukaryota;Plants;Land Plants,,SAMN05868438,PRJNA396063,GCA_002127325.2, Chromosome,3010.05,38.8175,chromosome 1:NC_035433.2/CM007890.2; chromosome 2:NC_035434.2/CM007891.2; chromosome 3:NC_035435.2/CM007892.2; chromosome 4:NC_035436.2/CM007893.2; chromosome 5:NC_035437.2/CM007894.2; chromosome 6:NC_035438.2/CM007895.2; chromosome 7:NC_035439.2/CM007896.2; chromosome 8:NC_035440.2/CM007897.2; chromosome 9:NC_035441.2/CM007898.2; chromosome 10:NC_035442.2/CM007899.2; chromosome 11:NC_035443.2/CM007900.2; chromosome 12:NC_035444.2/CM007901.2; chromosome 13:NC_035445.2/CM007902.2; chromosome 14:NC_035446.2/CM007903.2; chromosome 15:NC_035447.2/CM007904.2; chromosome 16:NC_035448.2/CM007905.2; chromosome 17:NC_035449.2/CM007906.2; chloroplast Pltd:NC_007977.1/CM007907.1; mitochondrion MT:NC_023337.1/CM007908.2,MNCJ02,334,75695,2017-05-08T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/127/325/GCA_002127325.2_HanXRQr2.0-SUNRISE,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/127/325/GCF_002127325.2_HanXRQr2.0-SUNRISE,
Lactuca sativa,Eukaryota;Plants;Land Plants,,SAMN01730979,PRJNA432228,GCA_002870075.2, Chromosome,2391.58,38.7113,chromosome 1:NC_056623.1/CM022518.1; chromosome 2:NC_056624.1/CM022519.1; chromosome 3:NC_056625.1/CM022520.1; chromosome 4:NC_056626.1/CM022521.1; chromosome 5:NC_056627.1/CM022522.1; chromosome 6:NC_056628.1/CM022523.1; chromosome 7:NC_056629.1/CM022524.1; chromosome 8:NC_056630.1/CM022525.1; chromosome 9:NC_056631.1/CM022526.1; mitochondrion MT:NC_042756.1/; chloroplast Pltd:NC_007578.1/,NBSK01,11454,46867,2018-01-09T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/870/075/GCA_002870075.2_Lsat_Salinas_v7,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/870/075/GCF_002870075.2_Lsat_Salinas_v7,
Trichoplax adhaerens,Eukaryota;Animals;Other Animals,Grell-BS-1999,SAMN02953699,PRJNA12874,GCA_000150275.1,Scaffold,105.632,34.5,,ABGP01,1414,11520,2008-06-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/150/275/GCA_000150275.1_v1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/150/275/GCF_000150275.1_v1.0,
Biomphalaria glabrata,Eukaryota;Animals;Other Animals,BB02,SAMN02953846,PRJNA12879,GCA_000457365.1,Scaffold,916.388,36.1998,mitochondrion MT:NC_005439.1/,APKA01,331401,36675,2013-08-09T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/457/365/GCA_000457365.1_ASM45736v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/457/365/GCF_000457365.1_ASM45736v1,
Malus domestica,Eukaryota;Plants;Land Plants,X9273 #13,SAMN05603590,PRJNA534520,GCA_002114115.1, Chromosome,703.358,39.359,chromosome 1:NC_041789.1/CM007867.1; chromosome 2:NC_041790.1/CM007868.1; chromosome 3:NC_041791.1/CM007869.1; chromosome 4:NC_041792.1/CM007870.1; chromosome 5:NC_041793.1/CM007871.1; chromosome 6:NC_041794.1/CM007872.1; chromosome 7:NC_041795.1/CM007873.1; chromosome 8:NC_041796.1/CM007874.1; chromosome 9:NC_041797.1/CM007875.1; chromosome 10:NC_041798.1/CM007876.1; chromosome 11:NC_041799.1/CM007877.1; chromosome 12:NC_041800.1/CM007878.1; chromosome 13:NC_041801.1/CM007879.1; chromosome 14:NC_041802.1/CM007880.1; chromosome 15:NC_041803.1/CM007881.1; chromosome 16:NC_041804.1/CM007882.1; chromosome 17:NC_041805.1/CM007883.1; mitochondrion MT:NC_018554.1/,MJAX01,807,52039,2017-04-28T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/114/115/GCA_002114115.1_ASM211411v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/114/115/GCF_002114115.1_ASM211411v1,
Saccoglossus kowalevskii,Eukaryota;Animals;Other Animals,,SAMN00102747,PRJNA12887,GCA_000003605.1,Scaffold,775.84,38.1,mitochondrion MT:NC_007438.1/,ACQM01,54120,22132,2009-08-04T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/003/605/GCA_000003605.1_Skow_1.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/003/605/GCF_000003605.2_Skow_1.1,
Aspergillus flavus NRRL3357,Eukaryota;Fungi;Ascomycetes,NRRL3357,SAMN14089210,PRJNA727281,GCA_014117465.1, Chromosome,36.9956,48.0323,chromosome 1:NC_054691.1/CP059866.1; chromosome 2:NC_054692.1/CP059867.1; chromosome 3:NC_054693.1/CP059868.1; chromosome 4:NC_054694.1/CP059869.1; chromosome 5:NC_054695.1/CP059870.1; chromosome 6:NC_054696.1/CP059871.1; chromosome 7:NC_054697.1/CP059872.1; chromosome 8:NC_054698.1/CP059873.1,,8,12009,2020-08-09T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/117/465/GCA_014117465.1_ASM1411746v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/117/465/GCF_014117465.1_ASM1411746v1,24
Cryptococcus gattii CA1873,Eukaryota;Fungi;Basidiomycetes,CA1873,SAMN01932848,PRJNA191333,GCA_000855695.1,Scaffold,17.4383,48,,ASCQ01,33,6634,2015-02-10T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/855/695/GCA_000855695.1_Cryp_gatt_CA1873_V1,,
Canis lupus,Eukaryota;Animals;Mammals,,SAMEA7532739,PRJEB43200,GCA_905319855.2, Chromosome,2447.46,41.4872,chromosome 1:HG994383.1; chromosome 2:HG994387.1; chromosome 3:HG994384.1; chromosome 4:HG994386.1; chromosome 5:HG994385.1; chromosome 6:HG994389.1; chromosome 7:HG994388.1; chromosome 8:HG994390.1; chromosome 9:HG994394.1; chromosome 10:HG994393.1; chromosome 11:HG994391.1; chromosome 12:HG994392.1; chromosome 13:HG994397.1; chromosome 14:HG994400.1; chromosome 15:HG994395.1; chromosome 16:HG994398.1; chromosome 17:HG994396.1; chromosome 18:HG994402.1; chromosome 19:HG994403.1; chromosome 20:HG994401.1; chromosome 21:HG994405.1; chromosome 22:HG994399.1; chromosome 23:HG994406.1; chromosome 24:HG994407.1; chromosome 25:HG994404.1; chromosome 26:HG994409.1; chromosome 27:HG994408.1; chromosome 28:HG994413.1; chromosome 29:HG994412.1; chromosome 30:HG994415.1; chromosome 31:HG994411.1; chromosome 32:HG994414.1; chromosome 33:HG994417.1; chromosome 34:HG994410.1; chromosome 35:HG994419.1; chromosome 36:HG994416.1; chromosome 37:HG994418.1; chromosome 38:HG994420.1; chromosome X:HG994381.1; chromosome Y:HG994382.1; mitochondrion MT:HG998573.1,CAJNRB02,82,0,2021-03-05T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/905/319/855/GCA_905319855.2_mCanLor1.2,,
Lemur catta,Eukaryota;Animals;Mammals,BS26,SAMN07678092,PRJNA399402,GCA_004024665.1,Scaffold,2298.45,41.1,,PVHV01,575427,0,2019-01-15T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/024/665/GCA_004024665.1_LemCat_v1_BIUU,,
Taeniopygia guttata,Eukaryota;Animals;Birds,Black17,SAMN02981239,PRJNA558048,GCA_003957565.4, Chromosome,1056.27,41.8944,chromosome 1:NC_044211.2/CM012081.2; chromosome 1A:NC_044212.2/CM012082.2; chromosome 2:NC_044213.2/CM012083.2; chromosome 3:NC_044214.2/CM012084.2; chromosome 4:NC_044215.2/CM012085.2; chromosome 4A:NC_044216.2/CM012086.2; chromosome 5:NC_044217.2/CM012087.2; chromosome 6:NC_044218.2/CM012088.2; chromosome 7:NC_044219.2/CM012089.2; chromosome 8:NC_044220.2/CM012090.2; chromosome 9:NC_044221.2/CM012091.2; chromosome 10:NC_044222.2/CM012092.2; chromosome 11:NC_044223.2/CM012093.2; chromosome 12:NC_044224.2/CM012094.2; chromosome 13:NC_044225.2/CM012095.2; chromosome 14:NC_044226.2/CM012096.2; chromosome 15:NC_044227.2/CM012097.2; chromosome 16:NC_044228.2/CM012098.2; chromosome 17:NC_044229.2/CM012099.2; chromosome 18:NC_044230.2/CM012100.2; chromosome 19:NC_044231.2/CM012101.2; chromosome 20:NC_044232.2/CM012102.2; chromosome 21:NC_044233.2/CM012103.2; chromosome 22:NC_044234.2/CM012104.2; chromosome 23:NC_044235.2/CM012105.2; chromosome 24:NC_044236.2/CM012106.2; chromosome 25:NC_044237.2/CM012107.2; chromosome 26:NC_044238.2/CM012108.2; chromosome 27:NC_044239.2/CM012110.2; chromosome 28:NC_044240.2/CM012112.2; chromosome Z:NC_044241.2/CM012113.2; chromosome W:NC_045028.1/CM018260.2; chromosome 29:NC_044242.2/CM012109.2; chromosome 30:NC_044243.2/CM012111.2; chromosome 31:NC_054763.1/CM025860.2; chromosome 32:NC_054764.1/CM025861.2; chromosome 33:NC_054765.1/CM025862.2; chromosome 34:NC_054766.1/CM025863.2; chromosome 35:NC_054767.1/CM025864.2; chromosome 36:NC_054768.1/CM025865.2; chromosome 37:NC_054769.1/CM030979.1; mitochondrion MT:NC_007897.1/CM016613.2,RRCB02,199,41214,2018-12-20T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/957/565/GCA_003957565.4_bTaeGut1.4.pri,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/957/565/GCF_003957565.2_bTaeGut1.4.pri,
Oikopleura dioica,Eukaryota;Animals;Other Animals,,SAMEA2272014,PRJEA42427,GCA_000209535.1,Scaffold,70.4715,40.2,,CABV01,1260,17152,2010-12-01T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/209/535/GCA_000209535.1_ASM20953v1,,
Salmo salar,Eukaryota;Animals;Fishes,Sally,SAMN02749551,PRJNA287919,GCA_000233375.4, Chromosome,2966.89,43.8912,chromosome ssa01:NC_027300.1/CM003279.1; chromosome ssa02:NC_027301.1/CM003280.1; chromosome ssa03:NC_027302.1/CM003281.1; chromosome ssa04:NC_027303.1/CM003282.1; chromosome ssa05:NC_027304.1/CM003283.1; chromosome ssa06:NC_027305.1/CM003284.1; chromosome ssa07:NC_027306.1/CM003285.1; chromosome ssa08:NC_027307.1/CM003286.1; chromosome ssa09:NC_027308.1/CM003287.1; chromosome ssa10:NC_027309.1/CM003288.1; chromosome ssa11:NC_027310.1/CM003289.1; chromosome ssa12:NC_027311.1/CM003290.1; chromosome ssa13:NC_027312.1/CM003291.1; chromosome ssa14:NC_027313.1/CM003292.1; chromosome ssa15:NC_027314.1/CM003293.1; chromosome ssa16:NC_027315.1/CM003294.1; chromosome ssa17:NC_027316.1/CM003295.1; chromosome ssa18:NC_027317.1/CM003296.1; chromosome ssa19:NC_027318.1/CM003297.1; chromosome ssa20:NC_027319.1/CM003298.1; chromosome ssa21:NC_027320.1/CM003299.1; chromosome ssa22:NC_027321.1/CM003300.1; chromosome ssa23:NC_027322.1/CM003301.1; chromosome ssa24:NC_027323.1/CM003302.1; chromosome ssa25:NC_027324.1/CM003303.1; chromosome ssa26:NC_027325.1/CM003304.1; chromosome ssa27:NC_027326.1/CM003305.1; chromosome ssa28:NC_027327.1/CM003306.1; chromosome ssa29:NC_027328.1/CM003307.1; mitochondrion MT:NC_001960.1/,AGKD04,241573,97738,2011-10-25T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/233/375/GCA_000233375.4_ICSASG_v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/233/375/GCF_000233375.1_ICSASG_v2,
Entamoeba dispar SAW760,Eukaryota;Protists;Other Protists,SAW760,SAMN02953643,PRJNA12914,GCA_000209125.2,Scaffold,30.6332,24.1,,AANV02,12258,8811,2006-02-11T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/209/125/GCA_000209125.2_JCVI_EDISG_1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/209/125/GCF_000209125.1_JCVI_EDISG_1.0,
Ostreococcus tauri,Eukaryota;Plants;Green Algae,RCC4221,SAMEA3138397,PRJNA12912,GCA_000214015.2, Chromosome,13.0328,59.1984,chromosome 1:NC_014426.2/CAID01000001.2; chromosome 2:NC_014427.2/CAID01000002.2; chromosome 3:NC_014428.2/CAID01000003.2; chromosome 4:NC_014429.2/CAID01000004.2; chromosome 5:NC_014430.2/CAID01000005.2; chromosome 6:NC_014431.2/CAID01000006.2; chromosome 7:NC_014432.2/CAID01000007.2; chromosome 8:NC_014433.2/CAID01000008.2; chromosome 9:NC_014434.2/CAID01000009.2; chromosome 10:NC_014435.2/CAID01000010.2; chromosome 11:NC_014436.2/CAID01000011.2; chromosome 12:NC_014437.2/CAID01000012.2; chromosome 13:NC_014438.2/CAID01000013.2; chromosome 14:NC_014439.2/CAID01000014.2; chromosome 15:NC_014440.2/CAID01000015.2; chromosome 16:NC_014441.2/CAID01000016.2; chromosome 17:NC_014442.2/CAID01000017.2; chromosome 18:NC_014443.2/CAID01000018.2; chromosome 19:NC_014444.2/CAID01000019.2; chromosome 20:NC_014445.2/CAID01000020.2; mitochondrion MT:NC_008290.1/; chloroplast Pltd:NC_008289.1/,CAID01,22,7766,2010-10-15T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/214/015/GCA_000214015.2_version_140606,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/214/015/GCF_000214015.3_version_140606,
Entamoeba invadens IP1,Eukaryota;Protists;Other Protists,IP1,SAMN02953644,PRJNA12926,GCA_000330505.1,Scaffold,40.8783,30.3,,AANW03,1144,11997,2006-02-11T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/330/505/GCA_000330505.1_EIA2_v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/330/505/GCF_000330505.1_EIA2_v2,
Phaseolus vulgaris,Eukaryota;Plants;Land Plants,,SAMN02981484,PRJNA41439,GCA_000499845.1, Chromosome,521.077,36.2199,chromosome 1:NC_023759.1/CM002288.1; chromosome 2:NC_023758.1/CM002289.1; chromosome 3:NC_023757.1/CM002290.1; chromosome 4:NC_023756.1/CM002291.1; chromosome 5:NC_023755.1/CM002292.1; chromosome 6:NC_023754.1/CM002293.1; chromosome 7:NC_023753.1/CM002294.1; chromosome 8:NC_023752.1/CM002295.1; chromosome 9:NC_023751.1/CM002296.1; chromosome 10:NC_023750.1/CM002297.1; chromosome 11:NC_023749.1/CM002298.1,ANNZ01,708,32720,2013-11-26T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/499/845/GCA_000499845.1_PhaVulg1_0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/499/845/GCF_000499845.1_PhaVulg1_0,
Ambystoma mexicanum,Eukaryota;Animals;Amphibians,DD151,SAMN06554622,PRJNA378970,GCA_002915635.3, Chromosome,28206.9,40.3,,PGSH02,27157,0,2018-02-05T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/915/635/GCA_002915635.3_AmbMex60DD,,
Physcomitrium patens,Eukaryota;Plants;Land Plants,,SAMN00120126,PRJNA13064,GCA_000002425.2, Chromosome,472.081,33.8892,chromosome 1:NC_037253.1/CM009316.1; chromosome 2:NC_037254.1/CM009317.1; chromosome 3:NC_037255.1/CM009318.1; chromosome 4:NC_037256.1/CM009319.1; chromosome 5:NC_037257.1/CM009320.1; chromosome 6:NC_037258.1/CM009321.1; chromosome 7:NC_037259.1/CM009322.1; chromosome 8:NC_037260.1/CM009323.1; chromosome 9:NC_037261.1/CM009324.1; chromosome 10:NC_037262.1/CM009325.1; chromosome 11:NC_037263.1/CM009326.1; chromosome 12:NC_037264.1/CM009327.1; chromosome 13:NC_037265.1/CM009328.1; chromosome 14:NC_037266.1/CM009329.1; chromosome 15:NC_037267.1/CM009330.1; chromosome 16:NC_037268.1/CM009331.1; chromosome 17:NC_037269.1/CM009332.1; chromosome 18:NC_037270.1/CM009333.1; chromosome 19:NC_037271.1/CM009334.1; chromosome 20:NC_037272.1/CM009335.1; chromosome 21:NC_037273.1/CM009336.1; chromosome 22:NC_037274.1/CM009337.1; chromosome 23:NC_037275.1/CM009338.1; chromosome 24:NC_037276.1/CM009339.1; chromosome 25:NC_037277.1/CM009340.1; chromosome 26:NC_037278.1/CM009341.1; chromosome 27:NC_037279.1/CM009342.1; mitochondrion MT:NC_007945.1/; chloroplast Pltd:NC_005087.1/,ABEU02,359,48022,2007-11-27T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/425/GCA_000002425.2_Phypa_V3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/425/GCF_000002425.4_Phypa_V3,
Prunus persica,Eukaryota;Plants;Land Plants,,SAMN02981429,PRJNA31227,GCA_000346465.2, Chromosome,227.569,37.6659,chromosome G1:NC_034009.1/CM007651.1; chromosome G2:NC_034010.1/CM007652.1; chromosome G3:NC_034011.1/CM007653.1; chromosome G4:NC_034012.1/CM007654.1; chromosome G5:NC_034013.1/CM007655.1; chromosome G6:NC_034014.1/CM007656.1; chromosome G7:NC_034015.1/CM007657.1; chromosome G8:NC_034016.1/CM007658.1; chloroplast Pltd:NC_014697.1/,AKXU02,192,32595,2013-03-14T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/346/465/GCA_000346465.2_Prunus_persica_NCBIv2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/346/465/GCF_000346465.2_Prunus_persica_NCBIv2,
Papio anubis,Eukaryota;Animals;Mammals,15944,SAMN11179045,PRJNA576697,GCA_008728515.1, Chromosome,2869.82,40.9162,chromosome 1:NC_044976.1/CM018180.1; chromosome 2:NC_044977.1/CM018181.1; chromosome 3:NC_044978.1/CM018182.1; chromosome 4:NC_044979.1/CM018183.1; chromosome 5:NC_044980.1/CM018184.1; chromosome 6:NC_044981.1/CM018185.1; chromosome 7:NC_044982.1/CM018186.1; chromosome 8:NC_044983.1/CM018187.1; chromosome 9:NC_044984.1/CM018188.1; chromosome 10:NC_044985.1/CM018189.1; chromosome 11:NC_044986.1/CM018190.1; chromosome 12:NC_044987.1/CM018191.1; chromosome 13:NC_044988.1/CM018192.1; chromosome 14:NC_044989.1/CM018193.1; chromosome 15:NC_044990.1/CM018194.1; chromosome 16:NC_044991.1/CM018195.1; chromosome 17:NC_044992.1/CM018196.1; chromosome 18:NC_044993.1/CM018197.1; chromosome 19:NC_044994.1/CM018198.1; chromosome 20:NC_044995.1/CM018199.1; chromosome X:NC_044996.1/CM018200.1; chromosome Y:NC_044997.1/CM018201.1; mitochondrion MT:NC_020006.2/,VSMJ01,11145,71987,2019-09-30T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/728/515/GCA_008728515.1_Panubis1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/728/515/GCF_008728515.1_Panubis1.0,
Crassostrea virginica,Eukaryota;Animals;Other Animals,RU13XGHG1-28,SAMN06349363,PRJNA379157,GCA_002022765.4, Chromosome,684.741,34.819,chromosome 1:NC_035780.1/CM008241.1; chromosome 2:NC_035781.1/CM008242.1; chromosome 3:NC_035782.1/CM008243.1; chromosome 4:NC_035783.1/CM008244.1; chromosome 5:NC_035784.1/CM008245.1; chromosome 6:NC_035785.1/CM008246.1; chromosome 7:NC_035786.1/CM008247.1; chromosome 8:NC_035787.1/CM008248.1; chromosome 9:NC_035788.1/CM008249.1; chromosome 10:NC_035789.1/CM008250.1,MWPT03,11,60201,2017-03-07T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/022/765/GCA_002022765.4_C_virginica-3.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/022/765/GCF_002022765.2_C_virginica-3.0,
Culex quinquefasciatus,Eukaryota;Animals;Insects,JHB,SAMN15480861,PRJNA684067,GCA_015732765.1, Chromosome,573.23,37.5148,chromosome 1:NC_051861.1/CM027410.1; chromosome 2:NC_051862.1/CM027411.1; chromosome 3:NC_051863.1/CM027412.1; mitochondrion MT:NC_014574.1/,JADDTP01,57,24531,2020-12-03T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/732/765/GCA_015732765.1_VPISU_Cqui_1.0_pri_paternal,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/732/765/GCF_015732765.1_VPISU_Cqui_1.0_pri_paternal,
Secale cereale,Eukaryota;Plants;Land Plants,,SAMN16551289,PRJNA671783,GCA_016097815.1, Chromosome,7735.06,45.93,chromosome 1R:CM027771.1; chromosome 2R:CM027772.1; chromosome 3R:CM027773.1; chromosome 4R:CM027774.1; chromosome 5R:CM027775.1; chromosome 6R:CM027776.1; chromosome 7R:CM027777.1,JADQCU01,24099,0,2020-12-16T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/097/815/GCA_016097815.1_HAU_Weining_v1.0,,
Solanum tuberosum,Eukaryota;Plants;Land Plants,,SAMN02981305,PRJNA63145,GCA_000226075.1,Scaffold,705.934,35.6005,chloroplast Pltd:NC_008096.2/,AEWC01,14854,37966,2011-05-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/226/075/GCA_000226075.1_SolTub_3.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/226/075/GCF_000226075.1_SolTub_3.0,
Vitis vinifera,Eukaryota;Plants;Land Plants,,SAMEA2272750,PRJEA18785,GCA_000003745.2, Chromosome,486.197,35.0336,chromosome 1:NC_012007.3/FN597015.1; chromosome 2:NC_012008.3/FN597017.1; chromosome 3:NC_012009.3/FN597018.1; chromosome 4:NC_012010.3/FN597020.1; chromosome 5:NC_012011.3/FN597022.1; chromosome 6:NC_012012.3/FN597024.1; chromosome 7:NC_012013.3/FN597025.1; chromosome 8:NC_012014.3/FN597027.1; chromosome 9:NC_012015.3/FN597028.1; chromosome 10:NC_012016.3/FN597030.1; chromosome 11:NC_012017.3/FN597032.1; chromosome 12:NC_012018.3/FN597034.1; chromosome 13:NC_012019.3/FN597036.1; chromosome 14:NC_012020.3/FN597038.1; chromosome 15:NC_012021.3/FN597039.1; chromosome 16:NC_012022.3/FN597040.1; chromosome 17:NC_012023.3/FN597042.1; chromosome 18:NC_012024.3/FN597044.1; chromosome 19:NC_012025.3/FN597046.1; mitochondrion MT:NC_012119.1/; chloroplast Pltd:NC_007957.1/,CAAP03,2061,41208,2007-02-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/003/745/GCA_000003745.2_12X,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/003/745/GCF_000003745.3_12X,
Galdieria sulphuraria,Eukaryota;Other;Other,074W,SAMN00011278,PRJNA13023,GCA_000341285.1,Scaffold,13.712,37.9,,ADNM02,433,7174,2013-01-08T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/341/285/GCA_000341285.1_ASM34128v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/341/285/GCF_000341285.1_ASM34128v1,
